# Voltage,Current
0,15.5
0.0373,15.54166667
0.165,15.63981043
0.468,15.44554455
0.612,15.26184539
0.94,14.32926829
1.43,14.25722832
1.93,12.78145695
2.3,11.2745098
2.466,8.211788212
2.534,6.219931271
2.566,5.091269841
2.585,4.301164725
2.6099,3.222496605
2.61,2.175
2.62,2.835497835
2.626,1.875714286
2.638,1.545401289
2.64,0
2.642,1.383246073
