addison2,2_3,0.1,318.6,62.58288134,8.039256206,0.433085205,0.348681579,,12.77541656
dan,2_3,0.1,177.2,51.55634172,12.97529032,0.537821009,0.537722036,,
james,2_3,0.1,198.6,24.87010118,12.6722027,0.636515317,0.753182163,,
john,2_3,0.1,271.2,66.04033812,11.03014463,1.105090647,2.270273159,,
keith,2_3,0.1,414.4,121.0107537,12.72349014,1.022151345,1.94228393,,
luis,2_3,0.1,203,52.86399516,16.83709814,0.639473978,0.760200344,,
michelle,2_3,0.1,255,62.20249976,16.01763689,0.308566573,0.17700277,,
niri,2_3,0.1,227.4,96.64886092,12.06601043,0.415284268,0.320607197,,
seth,2_3,0.1,199.2,37.15937463,11.97806336,0.47270828,0.415402138,,
steve,2_3,0.1,91.2,6.712389977,13.41497273,0.418049447,0.32489095,,
addison2,2_3,0.01,1017.8,111.8555986,6.368681277,0.505595839,0.47521407,,9.170259523
dan,2_3,0.01,959.4,290.97745,6.511991527,0.21982866,0.089836109,,
james,2_3,0.01,1079.2,222.2312679,9.331728011,0.08656493,0.013930486,,
john,2_3,0.01,871.4,82.85308567,7.864923217,0.17784732,0.05879995,,
keith,2_3,0.01,1992,277.2886471,8.055912071,0.207036027,0.079684556,,
luis,2_3,0.01,2045.2,240.2095185,13.52403551,0.338141029,0.212558291,,
michelle,2_3,0.01,2205.6,340.6846807,13.0092601,0.356072284,0.235699493,,
niri,2_3,0.01,1690.2,252.3368614,8.238413248,0.5111284,0.48567118,,
seth,2_3,0.01,1095.6,283.8239172,8.525616228,0.387663591,0.279378085,,
steve,2_3,0.01,717.8,107.6003988,10.27203404,0.464689236,0.401427882,,
addison2,2_3,0.001,3077,40.39330321,4.281331485,0.045281008,0.003811663,,7.758972496
dan,2_3,0.001,2963.4,123.6343344,4.569886057,0.121459653,0.027424984,,
james,2_3,0.001,3122,10.46520482,7.515667192,0.19307318,0.069298878,,
john,2_3,0.001,3126.4,5.767579458,5.839545728,0.114901138,0.024543187,,
keith,2_3,0.001,3135.4,0.586744237,7.388771821,0.178164753,0.059010037,,
luis,2_3,0.001,3136,0,13.33917658,0.239885754,0.106977199,,
michelle,2_3,0.001,3136,0,12.71361477,0.331987393,0.204892231,,
niri,2_3,0.001,3136,0,7.415095358,0.304158668,0.171981884,,
seth,2_3,0.001,3132.2,4.185053787,7.047503668,0.229729131,0.098110265,,
steve,2_3,0.001,3123.4,14.15045373,7.479132295,0.134113976,0.033437237,,
