name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupil,2_3,0.000100,10139.4,490.1212588052062,0.99980305763536281,0.052954619513281981,0.0052130274535181157
addison_pupil,2_3,0.000215,5052.3999999999996,447.67028060928948,1.1762642694849235,0.07541728419447187,0.010573629452836365
addison_pupil,2_3,0.000464,2632.4000000000001,239.52427667524637,1.3707803631004976,0.089262194698519634,0.014812127086548979
addison_pupil,2_3,0.001000,1330.0,106.60252304706486,1.458367841983379,0.076818359803595193,0.010970145008392718
addison_pupil,2_3,0.002154,686.39999999999998,42.197681225394362,1.734667822144246,0.064080977988604265,0.0076337963637269192
addison_pupil,2_3,0.004642,321.39999999999998,17.489506248033418,2.1663960611661652,0.10238774900000966,0.019488494841777556
addison_pupil,2_3,0.010000,189.80000000000001,10.951467627674383,2.3626010418282508,0.076855341692912929,0.010980710043750744
addison_pupil,2_3,0.021544,125.59999999999999,25.260685279698965,2.5728400964663658,0.093952113361108341,0.016409502537586544
addison_pupil,2_3,0.046416,63.0,4.2259843823658407,3.0006338693379204,0.072634781887021008,0.0098077995608549916
addison_pupil,2_3,0.100000,37.399999999999999,3.2003119847914823,3.4404476851140489,0.14870489963861422,0.041108616851075121
