name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupilclean,2_3,0.000100,12168.4,384.09951203926312,13.471570712994275,1.0216176994903898,1.9402564022754993
addison_pupilclean,2_3,0.000215,10468.6,2016.1750249293334,12.867031426424433,1.5234506028753514,4.3145853275603656
addison_pupilclean,2_3,0.000464,8987.2000000000007,3453.7480279492302,9.9695021342305985,1.0166688677188789,1.9215042879773716
addison_pupilclean,2_3,0.001000,10138.0,2315.2670827323568,9.5575679121620407,1.4898879088683115,4.1265726892325816
addison_pupilclean,2_3,0.002154,8730.2000000000007,3041.5816668863581,27.228868009046408,26.49441688528664,1304.9414896106523
addison_pupilclean,2_3,0.004642,4613.8000000000002,3204.8881980554638,20.465943877620685,16.896859241202108,530.75522794652943
addison_pupilclean,2_3,0.010000,3622.8000000000002,3217.9692488952091,13.32081693800213,8.6611784327892316,139.45570316146143
addison_pupilclean,2_3,0.021544,3152.1999999999998,3321.1383531872311,15.139677841768357,11.469300412618816,244.54352311663109
addison_pupilclean,2_3,0.046416,4933.1999999999998,3895.4935265605559,16.12028655446457,13.684234752702977,348.11548328205686
addison_pupilclean,2_3,0.100000,4672.8000000000002,3293.9210980986163,12.947206586497879,6.6521343244064566,82.262959306117168
