6_6,0,12432,0,15.14679692,5.059968755,,4.846975016,1.619190002
6_6,0.00001,12432,0,13.76211088,5.445148714,,4.403875483,1.742447588
6_6,0.0001,12432,0,13.82731709,4.992323041,,4.424741469,1.597543373
6_6,0.001,12432,0,13.63253733,4.416636983,,4.362411947,1.413323835
6_6,0.01,12432,0,14.35360918,4.452413142,,4.593154939,1.424772205
8_8,0,12432,0,7.41E+26,1.09E+27,,2.37177E+26,3.47906E+26
8_8,0.00001,12432,0,5.34E+26,7.83E+26,,1.70767E+26,2.50491E+26
8_8,0.0001,12432,0,3.12E+26,4.57E+26,,9.97362E+25,1.46299E+26
8_8,0.001,12432,0,1.66E+26,2.43E+26,,5.29638E+25,7.76905E+25
8_8,0.01,12432,0,8.98E+25,1.32E+26,,2.87464E+25,4.21669E+25
10_10,0,12432,0,17.98536683,7.710117529,,5.755317387,2.467237609
10_10,0.00001,12432,0,12.23557636,4.941583398,,3.915384436,1.581306687
10_10,0.0001,12432,0,9.799550479,2.650746913,,3.135856153,0.848239012
10_10,0.001,12432,0,13.08859576,4.548076183,,4.188350644,1.455384379
10_10,0.01,12432,0,14.7587846,5.90512857,,4.722811071,1.889641143
