name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupil,2_3,0.000100,12039.0,391.58337386564307,0.95459455187861919,0.034620167536942303,0.002228130577569069
addison_pupil,2_3,0.000215,8234.2000000000007,953.23745762071246,1.1886789722922133,0.0483291794681854,0.0043421133032199473
addison_pupil,2_3,0.000464,3890.8000000000002,482.47125409416878,1.3347785856581886,0.042284577399507611,0.0033238873547273757
addison_pupil,2_3,0.001000,2281.4000000000001,227.08953923243575,1.4638429331573122,0.06034372144254152,0.0067693424998792493
addison_pupil,2_3,0.002154,1192.8,121.847828192381,1.7100818226776919,0.05465967920170843,0.0055541354298662962
addison_pupil,2_3,0.004642,582.39999999999998,60.712082329631869,2.0914842128919053,0.093001134518490042,0.016078991340210964
addison_pupil,2_3,0.010000,251.19999999999999,13.895746226813438,2.3967911422921722,0.050997056200769691,0.0048347333081953884
addison_pupil,2_3,0.021544,131.59999999999999,9.6923861252015744,2.635739695126186,0.026753209963426665,0.0013305588997382361
addison_pupil,2_3,0.046416,67.599999999999994,3.2996213116053181,3.0697559467540549,0.059802115323468984,0.0066483733587921713
addison_pupil,2_3,0.100000,43.600000000000001,9.8901654586766128,3.5371423966542266,0.15111917141329345,0.042454275670434957
