name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupilclean,2_3,0.000100,7303.1999999999998,1709.2468295723704,0.81019997631308416,0.03917334659431107,0.0028527496345144687
addison_pupilclean,2_3,0.000215,3183.8000000000002,847.76654374373595,1.0364018922377494,0.09511795881891251,0.016819278126629124
addison_pupilclean,2_3,0.000464,2009.0,477.14023699537228,1.1194099439653233,0.048169595430479571,0.0043134851352172781
addison_pupilclean,2_3,0.001000,1099.8,136.99127231761881,1.2902466706687403,0.067873232676390449,0.0085640536026610568
addison_pupilclean,2_3,0.002154,734.60000000000002,195.17218247690931,1.4093149781833278,0.012490884453893111,0.00029004720858214725
addison_pupilclean,2_3,0.004642,449.60000000000002,129.37394438139387,1.5277200798596413,0.044898400209800411,0.0037475207120006813
addison_pupilclean,2_3,0.010000,222.80000000000001,28.098709208787508,1.7882523940719692,0.042096982037389291,0.0032944599506548869
addison_pupilclean,2_3,0.021544,131.19999999999999,16.552792247835406,2.1408036660465184,0.069557218262209619,0.0089942865340137367
addison_pupilclean,2_3,0.046416,66.0,6.4107010537069966,2.5696051938309132,0.11061076192491476,0.022744535718341344
addison_pupilclean,2_3,0.100000,32.0,5.8121748081075468,3.3976799944002765,0.13409613926399752,0.033428343555750709
