name,lambda,fold #,pixels,pred error
addison2,0.0001,rep1,12432,5.648053075
addison2,0.0001,rep2,12432,5.263434872
addison2,0.0001,rep3,12432,6.306006858
addison2,0.0001,rep4,12432,5.246843846
addison2,0.0001,rep5,12432,6.340569511
addison2,0.000215,rep1,12432,5.664188947
addison2,0.000215,rep2,12432,5.86214364
addison2,0.000215,rep3,12432,6.445239036
addison2,0.000215,rep4,12432,5.366041982
addison2,0.000215,rep5,12432,6.247502889
addison2,0.000464,rep1,12432,6.08532192
addison2,0.000464,rep2,12432,6.058054943
addison2,0.000464,rep3,12432,6.227921369
addison2,0.000464,rep4,12423,5.803268541
addison2,0.000464,rep5,12401,6.444766909
addison2,0.001,rep1,12190,6.35447673
addison2,0.001,rep2,12367,6.571754599
addison2,0.001,rep3,12428,6.266696332
addison2,0.001,rep4,11702,6.178831085
addison2,0.001,rep5,11800,6.56763542
addison2,0.002154,rep1,5767,5.947699009
addison2,0.002154,rep2,11182,6.391955098
addison2,0.002154,rep3,10372,6.414089432
addison2,0.002154,rep4,5763,6.12194781
addison2,0.002154,rep5,6993,6.42091808
addison2,0.004642,rep1,4204,6.018841367
addison2,0.004642,rep2,4514,5.978906527
addison2,0.004642,rep3,3263,6.123269482
addison2,0.004642,rep4,3092,5.779337476
addison2,0.004642,rep5,3691,5.962670145
addison2,0.01,rep1,2196,6.117576784
addison2,0.01,rep2,2283,6.365031794
addison2,0.01,rep3,2130,6.417540741
addison2,0.01,rep4,2085,6.038895709
addison2,0.01,rep5,2182,6.377961854
addison2,0.021544,rep1,758,7.318461026
addison2,0.021544,rep2,785,7.761105487
addison2,0.021544,rep3,754,7.529343946
addison2,0.021544,rep4,761,7.285330548
addison2,0.021544,rep5,482,8.078538349
addison2,0.046416,rep1,304,11.19999764
addison2,0.046416,rep2,176,10.35278678
addison2,0.046416,rep3,71,14.05388254
addison2,0.046416,rep4,203,12.85053203
addison2,0.046416,rep5,373,9.854098854
addison2,0.1,rep1,464,11.3837265
addison2,0.1,rep2,0,35.05797438
addison2,0.1,rep3,610,15.33173433
addison2,0.1,rep4,459,12.26578433
addison2,0.1,rep5,0,34.90083696
dan,0.0001,rep1,12432,6.063099331
dan,0.0001,rep2,12432,6.137603579
dan,0.0001,rep3,12432,6.805127151
dan,0.0001,rep4,12432,6.303584739
dan,0.0001,rep5,12432,6.25560885
dan,0.000215,rep1,12432,6.076727614
dan,0.000215,rep2,12419,6.773092786
dan,0.000215,rep3,12432,7.168842798
dan,0.000215,rep4,12432,7.432677262
dan,0.000215,rep5,12432,6.023488485
dan,0.000464,rep1,12430,6.897398816
dan,0.000464,rep2,12249,6.884329164
dan,0.000464,rep3,12432,7.26964981
dan,0.000464,rep4,12411,7.350825375
dan,0.000464,rep5,12403,7.388457598
dan,0.001,rep1,12153,7.12231608
dan,0.001,rep2,11839,7.70414285
dan,0.001,rep3,11008,6.684197751
dan,0.001,rep4,11194,8.25848211
dan,0.001,rep5,11600,6.92763471
dan,0.002154,rep1,8328,7.297882015
dan,0.002154,rep2,9354,7.184715834
dan,0.002154,rep3,7336,7.719711711
dan,0.002154,rep4,9273,7.99024328
dan,0.002154,rep5,7293,7.956208431
dan,0.004642,rep1,2817,7.947553668
dan,0.004642,rep2,3713,6.79596567
dan,0.004642,rep3,2767,7.904394284
dan,0.004642,rep4,2072,7.393751657
dan,0.004642,rep5,3626,6.568755477
dan,0.01,rep1,862,8.920133041
dan,0.01,rep2,807,8.918266097
dan,0.01,rep3,594,9.613792594
dan,0.01,rep4,736,9.415982077
dan,0.01,rep5,1165,7.933852392
dan,0.021544,rep1,337,10.88094086
dan,0.021544,rep2,438,9.769649339
dan,0.021544,rep3,329,10.67589954
dan,0.021544,rep4,215,10.73284169
dan,0.021544,rep5,308,10.42252548
dan,0.046416,rep1,23,16.18529418
dan,0.046416,rep2,271,15.04964691
dan,0.046416,rep3,148,15.30208119
dan,0.046416,rep4,326,12.96933329
dan,0.046416,rep5,85,15.66728034
dan,0.1,rep1,0,30.09631869
dan,0.1,rep2,0,29.38862745
dan,0.1,rep3,0,29.49052373
dan,0.1,rep4,0,29.3199056
dan,0.1,rep5,0,29.34842481
james,0.0001,rep1,12432,9.110649576
james,0.0001,rep2,12432,9.605945352
james,0.0001,rep3,12432,8.422439719
james,0.0001,rep4,12432,9.045081689
james,0.0001,rep5,12432,9.873844102
james,0.000215,rep1,12432,9.36274006
james,0.000215,rep2,12429,9.484481508
james,0.000215,rep3,12432,8.845390564
james,0.000215,rep4,12431,9.185269628
james,0.000215,rep5,12432,9.969321142
james,0.000464,rep1,12408,9.476978952
james,0.000464,rep2,12410,10.07387952
james,0.000464,rep3,12432,9.469426115
james,0.000464,rep4,12431,9.495739298
james,0.000464,rep5,12402,9.754157759
james,0.001,rep1,10858,9.236966945
james,0.001,rep2,12146,10.07311585
james,0.001,rep3,12367,9.518038513
james,0.001,rep4,11484,9.619245156
james,0.001,rep5,11379,10.59050161
james,0.002154,rep1,9368,10.13454359
james,0.002154,rep2,10051,10.71835316
james,0.002154,rep3,10631,10.22034035
james,0.002154,rep4,9401,9.51373413
james,0.002154,rep5,7682,10.73623501
james,0.004642,rep1,6068,10.70757653
