addison2,full,0.000100,rep1,12432,5.648053074643039
addison2,full,0.000100,rep2,12432,5.263434871556005
addison2,full,0.000100,rep3,12432,6.306006857751765
addison2,full,0.000100,rep4,12432,5.246843845659165
addison2,full,0.000100,rep5,12432,6.340569510991916
addison2,full,0.000464,rep1,12432,6.085321920055097
addison2,full,0.000464,rep2,12432,6.058054942508931
addison2,full,0.000464,rep3,12432,6.227921369333765
addison2,full,0.000464,rep4,12423,5.803268541248391
addison2,full,0.000464,rep5,12401,6.444766909030906
addison2,full,0.002154,rep1,5767,5.947699008556366
addison2,full,0.002154,rep2,11182,6.391955097676186
addison2,full,0.002154,rep3,10372,6.414089431756756
addison2,full,0.002154,rep4,5763,6.12194781042991
addison2,full,0.002154,rep5,6993,6.420918080074212
addison2,full,0.010000,rep1,2196,6.117576783835793
addison2,full,0.010000,rep2,2283,6.365031793591132
addison2,full,0.010000,rep3,2130,6.417540740654744
addison2,full,0.010000,rep4,2085,6.038895708688445
addison2,full,0.010000,rep5,2182,6.377961853958765
addison2,full,0.046416,rep1,304,11.19999764064824
addison2,full,0.046416,rep2,176,10.35278678175776
addison2,full,0.046416,rep3,71,14.05388253591807
addison2,full,0.046416,rep4,203,12.85053202738737
addison2,full,0.046416,rep5,373,9.854098853611315
addison2,full,0.000215,rep1,12432,5.664188947258981
addison2,full,0.000215,rep2,12432,5.86214363956717
addison2,full,0.000215,rep3,12432,6.445239036082285
addison2,full,0.000215,rep4,12432,5.366041981974345
addison2,full,0.000215,rep5,12432,6.247502888942576
addison2,full,0.001000,rep1,12190,6.354476729885003
addison2,full,0.001000,rep2,12367,6.57175459859041
addison2,full,0.001000,rep3,12428,6.26669633209491
addison2,full,0.001000,rep4,11702,6.178831084614298
addison2,full,0.001000,rep5,11800,6.567635419852052
addison2,full,0.004642,rep1,4204,6.018841366634909
addison2,full,0.004642,rep2,4514,5.978906526937295
addison2,full,0.004642,rep3,3263,6.123269481909957
addison2,full,0.004642,rep4,3092,5.779337476299663
addison2,full,0.004642,rep5,3691,5.962670145263634
addison2,full,0.021544,rep1,758,7.318461026154431
addison2,full,0.021544,rep2,785,7.7611054867811
addison2,full,0.021544,rep3,754,7.529343946203362
addison2,full,0.021544,rep4,761,7.285330548027448
addison2,full,0.021544,rep5,482,8.07853834946831
addison2,full,0.100000,rep1,464,11.3837264980527
addison2,full,0.100000,rep2,0,35.05797437944774
addison2,full,0.100000,rep3,610,15.33173432647797
addison2,full,0.100000,rep4,459,12.26578433228645
addison2,full,0.100000,rep5,0,34.90083696362723
addison2,5m,0.000100,rep1,12432,5.760616499534884
addison2,5m,0.000100,rep2,12432,5.490108507618612
addison2,5m,0.000100,rep3,12432,5.65385868491636
